,Unnamed: 0,French,English
0,0,partie,part
1,1,histoire,history
2,2,chercher,search
3,3,pensais,thought
4,4,aide,help
5,5,demande,request
6,6,mois,month
7,8,mettre,to put
8,9,aucun,no
9,10,eux,them
10,12,chaque,each
11,13,parlé,speak
12,14,arrivé,come
13,15,bébé,baby
14,16,longtemps,long time
15,17,vont,will
16,18,parle,speak
17,19,compris,understood
18,20,savais,knew
19,21,attention,Warning
20,23,pourrais,could
21,24,affaire,case
22,25,donner,give
23,27,donné,given
24,29,endroit,place
25,30,écoute,listen
26,31,dont,whose
27,32,trouve,find
28,33,premier,first
29,36,première,first
30,38,pouvoir,power
31,39,tiens,here
32,40,tellement,so much
33,41,enfant,child
34,42,point,point
35,44,suite,after
36,45,venez,come
37,46,devant,in front of
38,47,vers,towards
39,48,minutes,minutes
40,49,demandé,request
41,50,chambre,bedroom
42,51,mis,placed
43,52,droit,law
44,53,aimerais,would like to
45,54,aujourd'hui,today
46,55,mari,husband
47,56,cause,cause
48,57,enfin,finally
49,58,eau,water
50,59,attendez,Wait
51,60,parti,left
52,61,nouvelle,new
53,62,boulot,job
54,63,arrêter,Stop
55,65,compte,account
56,66,donne,given
57,67,loin,far
58,69,chérie,sweetheart
59,71,plutôt,rather
60,72,aura,will have
61,73,jouer,to play
